Chord,Note1,Note2,Note3,Chord_modified
Eb_maj_3_1,Eb_4,G_3,Bb_3,Eb_maj
Eb_maj_4_1,Eb_5,G_4,Bb_4,Eb_maj
Eb_maj_5_1,Eb_6,G_5,Bb_5,Eb_maj
Eb_maj_6_1,Eb_7,G_6,Bb_6,Eb_maj
Eb_maj_7_1,Eb_8,G_7,Bb_7,Eb_maj
E_maj_2_1,E_3,Gs_2,B_2,E_maj
E_maj_3_1,E_4,Gs_3,B_3,E_maj
E_maj_4_1,E_5,Gs_4,B_4,E_maj
E_maj_5_1,E_6,Gs_5,B_5,E_maj
E_maj_6_1,E_7,Gs_6,B_6,E_maj
E_maj_7_1,E_8,Gs_7,B_7,E_maj
F_maj_2_1,F_3,A_2,C_3,F_maj
F_maj_3_1,F_4,A_3,C_4,F_maj
F_maj_4_1,F_5,A_4,C_5,F_maj
F_maj_5_1,F_6,A_5,C_6,F_maj
F_maj_6_1,F_7,A_6,C_7,F_maj
F_maj_7_1,F_8,A_7,C_8,F_maj
Fs_maj_2_1,Fs_3,Bb_2,Cs_3,Fs_maj
Fs_maj_3_1,Fs_4,Bb_3,Cs_4,Fs_maj
Fs_maj_4_1,Fs_5,Bb_4,Cs_5,Fs_maj
Fs_maj_5_1,Fs_6,Bb_5,Cs_6,Fs_maj
Fs_maj_6_1,Fs_7,Bb_6,Cs_7,Fs_maj
Fs_maj_7_1,Fs_8,Bb_7,Cs_8,Fs_maj
G_maj_2_1,G_3,B_2,D_3,G_maj
G_maj_3_1,G_4,B_3,D_4,G_maj
G_maj_4_1,G_5,B_4,D_5,G_maj
G_maj_5_1,G_6,B_5,D_6,G_maj
G_maj_6_1,G_7,B_6,D_7,G_maj
G_maj_7_1,G_8,B_7,D_8,G_maj
Gs_maj_2_1,Gs_3,C_3,Eb_3,Gs_maj
Gs_maj_3_1,Gs_4,C_4,Eb_4,Gs_maj
Gs_maj_4_1,Gs_5,C_5,Eb_5,Gs_maj
Gs_maj_5_1,Gs_6,C_6,Eb_6,Gs_maj
Gs_maj_6_1,Gs_7,C_7,Eb_7,Gs_maj
Gs_maj_7_1,Gs_8,C_8,Eb_8,Gs_maj
A_maj_2_1,A_3,Cs_3,E_3,A_maj
A_maj_3_1,A_4,Cs_4,E_4,A_maj
A_maj_4_1,A_5,Cs_5,E_5,A_maj
A_maj_5_1,A_6,Cs_6,E_6,A_maj
A_maj_6_1,A_7,Cs_7,E_7,A_maj
A_maj_7_1,A_8,Cs_8,E_8,A_maj
Bb_maj_2_1,Bb_3,D_3,F_3,Bb_maj
Bb_maj_3_1,Bb_4,D_4,F_4,Bb_maj
Bb_maj_4_1,Bb_5,D_5,F_5,Bb_maj
Bb_maj_5_1,Bb_6,D_6,F_6,Bb_maj
Bb_maj_6_1,Bb_7,D_7,F_7,Bb_maj
Bb_maj_7_1,Bb_8,D_8,F_8,Bb_maj
B_maj_2_1,B_3,Eb_3,Fs_3,B_maj
B_maj_3_1,B_4,Eb_4,Fs_4,B_maj
B_maj_4_1,B_5,Eb_5,Fs_5,B_maj
B_maj_5_1,B_6,Eb_6,Fs_6,B_maj
B_maj_6_1,B_7,Eb_7,Fs_7,B_maj
B_maj_7_1,B_8,Eb_8,Fs_8,B_maj
C_min_2_1,C_3,Eb_2,G_2,C_min
C_min_3_1,C_4,Eb_3,G_3,C_min
C_min_4_1,C_5,Eb_4,G_4,C_min
C_min_5_1,C_6,Eb_5,G_5,C_min
C_min_6_1,C_7,Eb_6,G_6,C_min
C_min_7_1,C_8,Eb_7,G_7,C_min
Cs_min_2_1,Cs_3,E_2,Gs_2,Cs_min
Cs_min_3_1,Cs_4,E_3,Gs_3,Cs_min
Cs_min_4_1,Cs_5,E_4,Gs_4,Cs_min
Cs_min_5_1,Cs_6,E_5,Gs_5,Cs_min
Cs_min_6_1,Cs_7,E_6,Gs_6,Cs_min
Cs_min_7_1,Cs_8,E_7,Gs_7,Cs_min
D_min_2_1,D_3,F_2,A_2,D_min
D_min_3_1,D_4,F_3,A_3,D_min
D_min_4_1,D_5,F_4,A_4,D_min
D_min_5_1,D_6,F_5,A_5,D_min
D_min_6_1,D_7,F_6,A_6,D_min
D_min_7_1,D_8,F_7,A_7,D_min
Eb_min_2_1,Eb_3,Fs_2,Bb_2,Eb_min
Eb_min_3_1,Eb_4,Fs_3,Bb_3,Eb_min
Eb_min_4_1,Eb_5,Fs_4,Bb_4,Eb_min
Eb_min_5_1,Eb_6,Fs_5,Bb_5,Eb_min
Eb_min_6_1,Eb_7,Fs_6,Bb_6,Eb_min
Eb_min_7_1,Eb_8,Fs_7,Bb_7,Eb_min
E_min_2_1,E_3,G_2,B_2,E_min
E_min_3_1,E_4,G_3,B_3,E_min
E_min_4_1,E_5,G_4,B_4,E_min
E_min_5_1,E_6,G_5,B_5,E_min
E_min_6_1,E_7,G_6,B_6,E_min
E_min_7_1,E_8,G_7,B_7,E_min
F_min_2_1,F_3,Gs_2,C_3,F_min
F_min_3_1,F_4,Gs_3,C_4,F_min
F_min_4_1,F_5,Gs_4,C_5,F_min
F_min_5_1,F_6,Gs_5,C_6,F_min
F_min_6_1,F_7,Gs_6,C_7,F_min
F_min_7_1,F_8,Gs_7,C_8,F_min
Fs_min_2_1,Fs_3,A_2,Cs_3,Fs_min
Fs_min_3_1,Fs_4,A_3,Cs_4,Fs_min
Fs_min_4_1,Fs_5,A_4,Cs_5,Fs_min
Fs_min_5_1,Fs_6,A_5,Cs_6,Fs_min
Fs_min_6_1,Fs_7,A_6,Cs_7,Fs_min
Fs_min_7_1,Fs_8,A_7,Cs_8,Fs_min
G_min_2_1,G_3,Bb_2,D_3,G_min
G_min_3_1,G_4,Bb_3,D_4,G_min
G_min_4_1,G_5,Bb_4,D_5,G_min
G_min_5_1,G_6,Bb_5,D_6,G_min
G_min_6_1,G_7,Bb_6,D_7,G_min
G_min_7_1,G_8,Bb_7,D_8,G_min
Gs_min_2_1,Gs_3,B_2,Eb_3,Gs_min
Gs_min_3_1,Gs_4,B_3,Eb_4,Gs_min
Gs_min_4_1,Gs_5,B_4,Eb_5,Gs_min
Gs_min_5_1,Gs_6,B_5,Eb_6,Gs_min
Gs_min_6_1,Gs_7,B_6,Eb_7,Gs_min
Gs_min_7_1,Gs_8,B_7,Eb_8,Gs_min
A_min_2_1,A_3,C_3,E_3,A_min
A_min_3_1,A_4,C_4,E_4,A_min
A_min_4_1,A_5,C_5,E_5,A_min
A_min_5_1,A_6,C_6,E_6,A_min
A_min_6_1,A_7,C_7,E_7,A_min
A_min_7_1,A_8,C_8,E_8,A_min
Bb_min_2_1,Bb_3,Cs_3,F_3,Bb_min
Bb_min_3_1,Bb_4,Cs_4,F_4,Bb_min
Bb_min_4_1,Bb_5,Cs_5,F_5,Bb_min
Bb_min_5_1,Bb_6,Cs_6,F_6,Bb_min
Bb_min_6_1,Bb_7,Cs_7,F_7,Bb_min
Bb_min_7_1,Bb_8,Cs_8,F_8,Bb_min
B_min_2_1,B_3,D_3,Fs_3,B_min
B_min_3_1,B_4,D_4,Fs_4,B_min
B_min_4_1,B_5,D_5,Fs_5,B_min
B_min_5_1,B_6,D_6,Fs_6,B_min
B_min_6_1,B_7,D_7,Fs_7,B_min
B_min_7_1,B_8,D_8,Fs_8,B_min
C_maj_2_0 copy,C_2,E_2,G_2,C_maj
C_maj_3_0 copy,C_3,E_3,G_3,C_maj
C_maj_4_0 copy,C_4,E_4,G_4,C_maj
C_maj_5_0 copy,C_5,E_5,G_5,C_maj
C_maj_6_0 copy,C_6,E_6,G_6,C_maj
C_maj_7_0 copy,C_7,E_7,G_7,C_maj
Cs_maj_2_0 copy,Cs_2,F_2,Gs_2,Cs_maj
Cs_maj_3_0 copy,Cs_3,F_3,Gs_3,Cs_maj
Cs_maj_4_0 copy,Cs_4,F_4,Gs_4,Cs_maj
Cs_maj_5_0 copy,Cs_5,F_5,Gs_5,Cs_maj
Cs_maj_6_0 copy,Cs_6,F_6,Gs_6,Cs_maj
Cs_maj_7_0 copy,Cs_7,F_7,Gs_7,Cs_maj
D_maj_2_0 copy,D_2,Fs_2,A_2,D_maj
D_maj_3_0 copy,D_3,Fs_3,A_3,D_maj
D_maj_4_0 copy,D_4,Fs_4,A_4,D_maj
D_maj_5_0 copy,D_5,Fs_5,A_5,D_maj
D_maj_6_0 copy,D_6,Fs_6,A_6,D_maj
D_maj_7_0 copy,D_7,Fs_7,A_7,D_maj
Eb_maj_2_0 copy,Eb_2,G_2,Bb_2,Eb_maj
Eb_maj_3_0 copy,Eb_3,G_3,Bb_3,Eb_maj
Eb_maj_4_0 copy,Eb_4,G_4,Bb_4,Eb_maj
Eb_maj_5_0 copy,Eb_5,G_5,Bb_5,Eb_maj
Eb_maj_6_0 copy,Eb_6,G_6,Bb_6,Eb_maj
Eb_maj_7_0 copy,Eb_7,G_7,Bb_7,Eb_maj
E_maj_2_0 copy,E_2,Gs_2,B_2,E_maj
E_maj_3_0 copy,E_3,Gs_3,B_3,E_maj
E_maj_4_0 copy,E_4,Gs_4,B_4,E_maj
E_maj_5_0 copy,E_5,Gs_5,B_5,E_maj
E_maj_6_0 copy,E_6,Gs_6,B_6,E_maj
E_maj_7_0 copy,E_7,Gs_7,B_7,E_maj
F_maj_2_0 copy,F_2,A_2,C_3,F_maj
F_maj_3_0 copy,F_3,A_3,C_4,F_maj
F_maj_4_0 copy,F_4,A_4,C_5,F_maj
F_maj_5_0 copy,F_5,A_5,C_6,F_maj
F_maj_6_0 copy,F_6,A_6,C_7,F_maj
F_maj_7_0 copy,F_7,A_7,C_8,F_maj
Fs_maj_2_0 copy,Fs_2,Bb_2,Cs_3,Fs_maj
Fs_maj_3_0 copy,Fs_3,Bb_3,Cs_4,Fs_maj
Fs_maj_4_0 copy,Fs_4,Bb_4,Cs_5,Fs_maj
Fs_maj_5_0 copy,Fs_5,Bb_5,Cs_6,Fs_maj
Fs_maj_6_0 copy,Fs_6,Bb_6,Cs_7,Fs_maj
Fs_maj_7_0 copy,Fs_7,Bb_7,Cs_8,Fs_maj
G_maj_2_0 copy,G_2,B_2,D_3,G_maj
G_maj_3_0 copy,G_3,B_3,D_4,G_maj
G_maj_4_0 copy,G_4,B_4,D_5,G_maj
G_maj_5_0 copy,G_5,B_5,D_6,G_maj
G_maj_6_0 copy,G_6,B_6,D_7,G_maj
G_maj_7_0 copy,G_7,B_7,D_8,G_maj
Gs_maj_2_0 copy,Gs_2,C_3,Eb_3,Gs_maj
Gs_maj_3_0 copy,Gs_3,C_4,Eb_4,Gs_maj
Gs_maj_4_0 copy,Gs_4,C_5,Eb_5,Gs_maj
Gs_maj_5_0 copy,Gs_5,C_6,Eb_6,Gs_maj
Gs_maj_6_0 copy,Gs_6,C_7,Eb_7,Gs_maj
Gs_maj_7_0 copy,Gs_7,C_8,Eb_8,Gs_maj
A_maj_2_0 copy,A_2,Cs_3,E_3,A_maj
A_maj_3_0 copy,A_3,Cs_4,E_4,A_maj
A_maj_4_0 copy,A_4,Cs_5,E_5,A_maj
A_maj_5_0 copy,A_5,Cs_6,E_6,A_maj
A_maj_6_0 copy,A_6,Cs_7,E_7,A_maj
A_maj_7_0 copy,A_7,Cs_8,E_8,A_maj
Bb_maj_2_0 copy,Bb_2,D_3,F_3,Bb_maj
Bb_maj_3_0 copy,Bb_3,D_4,F_4,Bb_maj
Bb_maj_4_0 copy,Bb_4,D_5,F_5,Bb_maj
Bb_maj_5_0 copy,Bb_5,D_6,F_6,Bb_maj
Bb_maj_6_0 copy,Bb_6,D_7,F_7,Bb_maj
Bb_maj_7_0 copy,Bb_7,D_8,F_8,Bb_maj
B_maj_2_0 copy,B_2,Eb_3,Fs_3,B_maj
B_maj_3_0 copy,B_3,Eb_4,Fs_4,B_maj
B_maj_4_0 copy,B_4,Eb_5,Fs_5,B_maj
B_maj_5_0 copy,B_5,Eb_6,Fs_6,B_maj
B_maj_6_0 copy,B_6,Eb_7,Fs_7,B_maj
B_maj_7_0 copy,B_7,Eb_8,Fs_8,B_maj
C_min_2_0 copy,C_2,Eb_2,G_2,C_min
C_min_3_0 copy,C_3,Eb_3,G_3,C_min
C_min_4_0 copy,C_4,Eb_4,G_4,C_min
C_min_5_0 copy,C_5,Eb_5,G_5,C_min
C_min_6_0 copy,C_6,Eb_6,G_6,C_min
C_min_7_0 copy,C_7,Eb_7,G_7,C_min
Cs_min_2_0 copy,Cs_2,E_2,Gs_2,Cs_min
Cs_min_3_0 copy,Cs_3,E_3,Gs_3,Cs_min
Cs_min_4_0 copy,Cs_4,E_4,Gs_4,Cs_min
Cs_min_5_0 copy,Cs_5,E_5,Gs_5,Cs_min
Cs_min_6_0 copy,Cs_6,E_6,Gs_6,Cs_min
Cs_min_7_0 copy,Cs_7,E_7,Gs_7,Cs_min
D_min_2_0 copy,D_2,F_2,A_2,D_min
D_min_3_0 copy,D_3,F_3,A_3,D_min
D_min_4_0 copy,D_4,F_4,A_4,D_min
D_min_5_0 copy,D_5,F_5,A_5,D_min
D_min_6_0 copy,D_6,F_6,A_6,D_min
D_min_7_0 copy,D_7,F_7,A_7,D_min
Eb_min_2_0 copy,Eb_2,Fs_2,Bb_2,Eb_min
Eb_min_3_0 copy,Eb_3,Fs_3,Bb_3,Eb_min
Eb_min_4_0 copy,Eb_4,Fs_4,Bb_4,Eb_min
Eb_min_5_0 copy,Eb_5,Fs_5,Bb_5,Eb_min
Eb_min_6_0 copy,Eb_6,Fs_6,Bb_6,Eb_min
Eb_min_7_0 copy,Eb_7,Fs_7,Bb_7,Eb_min
E_min_2_0 copy,E_2,G_2,B_2,E_min
E_min_3_0 copy,E_3,G_3,B_3,E_min
E_min_4_0 copy,E_4,G_4,B_4,E_min
E_min_5_0 copy,E_5,G_5,B_5,E_min
E_min_6_0 copy,E_6,G_6,B_6,E_min
E_min_7_0 copy,E_7,G_7,B_7,E_min
F_min_2_0 copy,F_2,Gs_2,C_3,F_min
F_min_3_0 copy,F_3,Gs_3,C_4,F_min
